team_name,player_name,Score_AccionDefensiva_25,Score_ControlDefensivo_25,Score_Progresion_25,Score_ImpactoOfensivo_25,Score_Overall_25,Score_AccionDefensiva_26,Score_ControlDefensivo_26,Score_Progresion_26,Score_ImpactoOfensivo_26,Score_Overall_26,Overall_Score_Final,Cost_Share
Tijuana,Ramiro Franco Zambrano,42.9936974789916,35.37414965986394,74.10973084886129,53.86904761904761,46.87564264836369,,,,,,46.87564264836369,0.005
Monterrey,Victor Andrés Guzmán Olmedo,41.38305322128852,30.4421768707483,60.77639751552795,36.011904761904766,39.801212876454926,42.03934447342155,34.6938775510204,81.51260504201679,57.34126984126983,48.1587290088449,46.487225782366906,0.019
Mazatlán,José Joaquín Esquivel Martínez,31.85924369747899,43.707482993197274,59.94397759103642,66.22023809523809,46.243997599039616,,,,,,46.243997599039616,0.079
Atlético San Luis,Julio César Domínguez Juárez,47.05532212885154,40.986394557823125,52.030812324929975,51.04166666666666,45.71803721488595,,,,,,45.71803721488595,0.102
Guadalajara,Gilberto Sepúlveda López,24.751400560224088,58.33333333333332,38.29451345755694,54.166666666666664,45.513419498234065,,,,,,45.513419498234065,0.027
León,Paul Bellón Saracho,86.35504201680672,42.3469387755102,34.27018633540373,43.89880952380953,51.88880117264297,81.53514279274928,22.902494331065757,38.37535014005602,51.19047619047618,43.48402579422574,45.164980869909186,0.02
Querétaro,Diego Antonio Reyes Rosales,83.8065476190476,53.061224489795904,50.70028011204482,44.19642857142857,59.38888680472188,87.79097846034965,20.181405895691608,22.782446311858077,60.11904761904761,41.597771292425016,45.15599439488439,0.034
Puebla,Luis Gabriel Rey Mejía,26.712184873949585,54.59183673469387,37.60504201680672,57.44047619047618,44.5094287715086,,,,,,44.5094287715086,0.019
Puebla,Jesús Alberto Alcantar Rodríguez,51.432072829131656,37.92517006802721,49.36974789915967,44.94047619047618,44.29234193677471,,,,,,44.29234193677471,0.003
Atlético San Luis,Daniel Moisés Guillén Moreno,43.62394957983193,42.68707482993197,47.89915966386554,41.66666666666667,43.86166966786714,,,,,,43.86166966786714,0.011
Mazatlán,Lucas Gabriel Merolla,69.359243697479,49.82993197278911,33.403361344537814,55.50595238095238,51.994547819127654,44.186870150359,35.600907029478456,45.28478057889822,56.94444444444443,41.81852626107914,43.85373057268884,0.03
Atlético San Luis,Robson Alves de Barros,,,,,,60.05988602337487,45.35147392290249,17.086834733893557,47.81746031746032,43.622247749674585,43.622247749674585,0.124
Guadalajara,José Castillo Pérez,,,,,,18.13644998229177,51.927437641723344,59.06746031746032,38.492063492063494,43.56415784704686,43.56415784704686,0.007
Santos Laguna,Edson Antonio Gutiérrez Moreno,51.08193277310925,32.142857142857146,68.90756302521008,25.0,43.51628151260504,,,,,,43.51628151260504,0.095
Juárez,José Juan García Manríquez,82.69957983193278,44.387755102040806,37.88515406162464,31.994047619047613,51.42582032813124,51.4697833156251,37.18820861678004,42.11017740429504,33.92857142857143,41.41703233017345,43.418789929765005,0.021
Pumas UNAM,Ángel Amhed Azuaje García,,,,,,62.22222222222222,26.757369614512463,55.7936507936508,43.05555555555557,43.06065759637188,43.06065759637188,0.006
Tigres UANL,Juan José Sánchez Purata,18.343837535014007,67.51700680272108,50.30538302277432,44.19642857142857,49.44933190667571,69.07015679835153,17.233560090702944,52.38095238095237,57.93650793650794,41.29248251024547,42.92385238953152,0.011
Puebla,Efraín Orona Zavala,45.969887955182074,44.04761904761904,51.29658385093168,56.398809523809526,47.21309828279138,55.95157603271193,24.716553287981853,57.36111111111111,49.20634920634921,41.50320013062696,42.64517976105984,0.012
Monterrey,Luis Gustavo Sánchez Saucedo,71.88025210084034,30.4421768707483,31.79271708683473,43.89880952380953,42.41746698679472,,,,,,42.41746698679472,0.005
Mazatlán,Ángel Alberto Leyva Serrano,,,,,,62.30078238191828,34.92063492063492,29.50513538748832,48.61111111111111,42.05161949837406,42.05161949837406,0.01
Tijuana,Jackson Gabriel Porozo Vernaza,17.9936974789916,53.40136054421768,24.64985994397759,50.59523809523809,38.51853241296518,60.059886023374865,39.68253968253968,22.02380952380952,56.34920634920635,42.91179690266912,42.03314400472833,0.037
Necaxa,Agustín Oliveros Cano,55.528711484593835,34.69387755102041,55.25210084033613,52.82738095238095,45.827581032412965,10.952380952380954,45.124716553287975,64.46428571428571,48.01587301587301,40.73866213151928,41.756445911698016,0.051
