team_name,player_name,player_full_name,GM,Min,Age,player_position,games_by_team,minutes_played_by_team,minutes_played_percentage,total_gross_salary,signed,contract_expiration,season,transfer_window,club_id_tmkt,player_id,transfer_price,contract_length_years,player_annual_fee,player_annual_cost,team_total_salary,team_total_fees,team_total_cost,player_annual_cost_percentage
Mazatlán,F. Almada,Facundo Almada,25,2140,27,Right Centre Back,25,2250,0.95,350000.0,01-01-2024,31-12-2025,,,,,,1.0,,350000,9710000.0,1747917,11457917,0.031
Club América,S. Cáceres,Sebastián Cáceres,27,2128,26,Left Centre Back,35,3150,0.68,1400000.0,22-03-2024,30-06-2027,,,,,,3.0,,1400000,39090000.0,25266667,64356667,0.022
Toluca,J. Angulo,Jesús Angulo,31,2122,28,Centre Attacking Midfielder,34,3060,0.69,900000.0,14-07-2023,30-06-2027,,,,,,4.0,,900000,25380000.0,25421667,50801667,0.018
Club América,R. Juárez,Ramón Juárez,29,2102,24,Left Centre Back,35,3150,0.67,530000.0,17-05-2024,30-06-2027,,,,,,3.0,,530000,39090000.0,25266667,64356667,0.008
Club América,K. Álvarez,Kevin Álvarez,31,2094,26,Right Back,35,3150,0.66,1350000.0,01-07-2023,30-06-2027,,,,,,4.0,,1350000,39090000.0,25266667,64356667,0.021
Pumas UNAM,Rubén Duarte,Rubén Duarte,26,2084,30,Left Centre Back,32,2880,0.72,1250000.0,09-07-2024,30-06-2027,24/25,Verano europeo,7633.0,177046.0,4000000.0,3.0,1333333.0,2583333,12860000.0,5755000,18615000,0.139
Tigres UANL,Joaquim,Joaquim,29,2083,26,Right Centre Back,37,3330,0.63,1880000.0,27-07-2024,30-06-2027,24/25,Verano europeo,7055.0,860857.0,7350000.0,3.0,2450000.0,4330000,36450000.0,10285834,46735834,0.093
Atlético San Luis,S. Salles-Lamonge,Sébastien Salles-Lamonge,26,2065,29,Defensive Midfielder,26,2340,0.88,310000.0,16-12-2024,30-06-2026,,,,,,2.0,,310000,8040000.0,1600000,9640000,0.032
Tigres UANL,N. Ibáñez,Nicolás Ibáñez,29,2062,31,Centre Forward,37,3330,0.62,1170000.0,18-01-2023,31-12-2026,,,,,,3.0,,1170000,36450000.0,10285834,46735834,0.025
Tijuana,A. Rodríguez,Antonio Rodríguez,23,2058,33,Goalkeeper,26,2340,0.88,150000.0,01-01-2023,30-06-2026,,,,,,3.0,,150000,11350000.0,11783333,23133333,0.006
Atlas,U. Durdevic,Uros Djurdjevic,24,2014,31,Centre Forward,25,2250,0.9,810000.0,16-07-2024,30-06-2027,24/25,Verano europeo,8590.0,190804.0,2000000.0,3.0,666667.0,1476667,10890000.0,6566667,17456667,0.085
Juárez,A. Mayorga,Alejandro Mayorga,25,2013,28,Left Centre Back,28,2520,0.8,610000.0,04-07-2025,31-12-2028,25/26,Verano europeo,49283.0,401344.0,1500000.0,3.0,500000.0,1110000,12850000.0,5433333,18283333,0.061
Puebla,J. Fedorco,Juan Fedorco,25,2003,24,Central Defender,26,2340,0.86,150000.0,03-02-2025,31-12-2025,,,,,,0.0,,150000,11000000.0,7816667,18816667,0.008
Cruz Azul,L. Faravelli,Lorenzo Faravelli,33,1994,32,Central Midfielder,35,3150,0.63,700000.0,26-08-2025,31-12-2026,,,,,,1.0,,700000,23380000.0,28637500,52017500,0.013
Necaxa,A. Peña,Alexis Peña,25,1991,29,Central Defender,29,2610,0.76,110000.0,01-01-2023,31-12-2025,,,,,,2.0,,110000,8700000.0,6121867,14821867,0.007
Monterrey,R. Chávez,Ricardo Chávez,29,1986,30,Right Back,36,3240,0.61,530000.0,02-01-2025,30-06-2026,24/25,Invierno europeo,2407.0,347577.0,3200000.0,1.0,3200000.0,3730000,47650000.0,10834167,61864167,0.06
Atlas,C. Vargas,Camilo Vargas,22,1980,36,Goalkeeper,25,2250,0.88,780000.0,05-04-2022,31-12-2026,,,,,,4.0,,780000,10890000.0,6566667,17456667,0.045
Santos Laguna,J. Güémez,Javier Güémez,24,1968,34,Central Midfielder,24,2160,0.91,530000.0,01-01-2025,31-12-2026,,,,,,1.0,,530000,9150000.0,3645833,12795833,0.041
Mazatlán,N. Benedetti,Nicolás Benedetti,24,1958,28,Centre Forward,25,2250,0.87,780000.0,01-01-2023,31-12-2025,,,,,,2.0,,780000,9710000.0,1747917,11457917,0.068
Juárez,M. Mosquera,Moisés Mosquera,23,1958,24,Right Centre Back,28,2520,0.78,230000.0,08-08-2023,30-06-2028,,,,,,5.0,,230000,12850000.0,5433333,18283333,0.013
