team_name,player_name,minutes_played_percentage,player_annual_cost_percentage,talent_cost_utilization_per_player
Atlas,A. Ramírez,0.12,0.009,0.0010799999999999998
Santos Laguna,A. Santamaría,0.12,0.0,0.0
Tigres UANL,G. Pizarro Demestri,0.08,0.0,0.0
Santos Laguna,D. Medina,0.12,0.015,0.0018
Necaxa,A. Palma,0.1,0.0,0.0
Pachuca,J. López,0.09,0.059,0.00531
Juárez,F. Nevárez,0.1,0.013,0.0013
Atlético San Luis,D. Abitia,0.11,0.0,0.0
Tijuana,Joe Corona,0.11,0.015,0.00165
Guadalajara,T. Wilke,0.09,0.007,0.00063
Juárez,J. Gónzalez,0.1,0.038,0.0038
Pachuca,G. Cabral,0.08,0.047,0.00376
Monterrey,T. Leone,0.07,0.0,0.0
Club América,M. Vázquez,0.08,0.002,0.00016
Pumas UNAM,A. Ramsey,0.08,0.105,0.0084
Mazatlán,Á. Saavedra,0.1,0.008,0.0008
Pumas UNAM,S. López,0.08,0.006,0.00048
Querétaro,M. Carcelén,0.12,0.08,0.0096
Querétaro,S. Hernández,0.12,0.015,0.0018
Atlético San Luis,L. Nájera,0.1,0.0,0.0
Toluca,M. Isaís,0.07,0.038,0.00266
Pumas UNAM,J. Macías,0.08,0.047,0.00376
Atlas,J. San Martín,0.1,0.0,0.0
Puebla,C. Baltazar,0.09,0.039,0.0035099999999999997
Toluca,F. Arce,0.07,0.022,0.0015400000000000001
Monterrey,A. Martial,0.06,0.097,0.00582
Mazatlán,S. Godínez,0.09,0.008,0.0007199999999999999
Pachuca,Alemão,0.07,0.0,0.0
Toluca,V. Arteaga,0.07,0.002,0.00014000000000000001
León,D. Arcila,0.08,0.037,0.00296
Necaxa,R. Cortéz,0.07,0.007,0.0004900000000000001
Pumas UNAM,Á. Rico,0.07,0.006,0.00042000000000000007
Necaxa,R. Sandoval,0.07,0.0,0.0
Juárez,D. Ochoa,0.07,0.011,0.0007700000000000001
Mazatlán,C. Castro,0.08,0.008,0.00064
Tijuana,M. Ortega,0.08,0.0,0.0
Atlético San Luis,C. López,0.08,0.013,0.00104
Cruz Azul,A. Gudiño,0.06,0.01,0.0006
Atlas,A. Sánchez,0.08,0.003,0.00024
Pumas UNAM,R. Parra,0.06,0.005,0.0003
Pachuca,S. Hernández,0.06,0.006,0.00035999999999999997
Santos Laguna,R. Prieto,0.08,0.005,0.0004
Santos Laguna,T. Jiménez,0.08,0.0,0.0
León,C. Cisneros,0.06,0.051,0.00306
Tijuana,J. Fernández,0.07,0.013,0.00091
Puebla,W. Portales,0.07,0.005,0.00035000000000000005
Querétaro,A. de María y Campos,0.08,0.0,0.0
Pachuca,A. Hurtado,0.05,0.0,0.0
Puebla,B. Garnica,0.06,0.096,0.0057599999999999995
León,Ó. Villa,0.06,0.022,0.0013199999999999998
Querétaro,E. Partida,0.07,0.017,0.0011900000000000003
Pachuca,William Carvalho,0.05,0.082,0.0041
Querétaro,Carlo Adriano,0.07,0.017,0.0011900000000000003
Guadalajara,I. Brizuela,0.05,0.018,0.0009
Puebla,D. Paz,0.06,0.0,0.0
Atlas,J. Serrato,0.06,0.0,0.0
Toluca,S. Aceves,0.04,0.0,0.0
Toluca,O. Virgen,0.04,0.002,8e-05
Querétaro,M. Coronel,0.07,0.0,0.0
Cruz Azul,C. Jiménez,0.04,0.002,8e-05
Monterrey,J. Moxica,0.04,0.0,0.0
Tigres UANL,D. Sánchez,0.04,0.049,0.00196
Santos Laguna,F. Fagúndez,0.06,0.027,0.00162
Pumas UNAM,U. Rivas,0.04,0.029,0.00116
Atlético San Luis,J. Marchand,0.05,0.022,0.0011
Juárez,E. López,0.05,0.0,0.0
Atlético San Luis,D. Guillén,0.05,0.011,0.00055
Club América,N. Araújo,0.04,0.028,0.0011200000000000001
Necaxa,A. Montes,0.04,0.0,0.0
Juárez,D. Valoyes,0.04,0.054,0.00216
Tijuana,J. Reyes,0.05,0.013,0.00065
Pachuca,I. Luna,0.03,0.002,6e-05
Atlas,J. Guzmán,0.04,0.0,0.0
Puebla,S. Olmedo,0.04,0.0,0.0
Cruz Azul,J. Rodarte,0.03,0.0,0.0
Atlas,C. Robles,0.04,0.052,0.00208
Mazatlán,A. Alcaráz,0.04,0.022,0.0008799999999999999
Atlas,C. Ramos,0.04,0.005,0.0002
Guadalajara,E. García,0.03,0.007,0.00021
Santos Laguna,H. Holguín,0.04,0.002,8e-05
Mazatlán,R. Rodríguez,0.04,0.023,0.00092
Pumas UNAM,J. Flores,0.03,0.0,0.0
Pumas UNAM,M. Paul,0.03,0.0,0.0
Puebla,Á. de la Rosa,0.04,0.0,0.0
Atlético San Luis,J. Murillo,0.04,0.0,0.0
Santos Laguna,G. Muñoz,0.03,0.0,0.0
Querétaro,F. Valenzuela,0.03,0.042,0.00126
Tijuana,L. Vargas,0.03,0.0,0.0
Atlas,I. Domínguez,0.03,0.0,0.0
Tijuana,F. Contreras,0.03,0.005,0.00015
Monterrey,M. Rodríguez,0.02,0.008,0.00016
Toluca,A. Álvarez,0.02,0.012,0.00024
León,P. Medina,0.02,0.011,0.00021999999999999998
Tigres UANL,O. Rodríguez,0.02,0.035,0.0007000000000000001
Tijuana,E. Bullaude,0.02,0.142,0.0028399999999999996
Cruz Azul,K. Velázquez,0.02,0.0,0.0
Atlético San Luis,C. Mares,0.02,0.0,0.0
Pumas UNAM,R. Galindo,0.02,0.0,0.0
Cruz Azul,M. Levy,0.02,0.0,0.0
Cruz Azul,B. Gamboa,0.02,0.002,4e-05
