player_id,match_id,season,minutes,starter,position_match,team,player_name,primary_position
43476,4004148,2025_2026,65,True,Right Center Back,Monterrey,Victor Andrés Guzmán Olmedo,Right Center Back
389205,4004148,2025_2026,70,True,Right Midfield,Tijuana,Ramiro Árciga Zárate,Right Midfield
23899,4004148,2025_2026,45,True,Right Defensive Midfield,Tijuana,Frank Boya,Right Defensive Midfield
28764,4004148,2025_2026,98,True,Center Forward,Monterrey,Germán Berterame,Center Forward
51942,4004148,2025_2026,98,True,Goalkeeper,Monterrey,Santiago Andrés Mele Castanero,Goalkeeper
275687,4004148,2025_2026,78,True,Left Defensive Midfield,Tijuana,Iván Oswaldo Tona Olmeda,Left Defensive Midfield
26345,4004148,2025_2026,98,True,Left Center Back,Monterrey,John Stefan Medina Ramírez,Right Center Back
27893,4004148,2025_2026,98,True,Goalkeeper,Tijuana,José Antonio Rodríguez Romero,Goalkeeper
12021,4004148,2025_2026,98,True,Right Attacking Midfield,Monterrey,Óliver Torres Muñoz,Right Center Midfield
27896,4004148,2025_2026,98,True,Left Wing Back,Monterrey,Gerardo Daniel Arteaga Zamora,Left Back
4345,4004148,2025_2026,87,True,Left Attacking Midfield,Monterrey,Lucas Ariel Ocampos,Left Wing
29051,4004148,2025_2026,98,True,Left Defensive Midfield,Monterrey,Jorge Agustín Rodríguez,Center Defensive Midfield
80765,4004148,2025_2026,98,True,Left Back,Tijuana,Jesús Alan Vega Grijalva,Left Back
27904,4004099,2025_2026,91,True,Right Defensive Midfield,Tigres UANL,Fernando Gorriarán Fontes,Left Defensive Midfield
22915,4004099,2025_2026,91,True,Right Midfield,Tigres UANL,Diego Lainez Leyva,Right Wing
30726,4004099,2025_2026,80,True,Right Back,Santos Laguna,José Javier Abella Fanjul,Right Back
35719,4004099,2025_2026,98,True,Right Midfield,Santos Laguna,Cristián Andrés Dájome Arboleda,Right Midfield
28561,4004099,2025_2026,98,True,Goalkeeper,Tigres UANL,Nahuel Ignacio Guzmán Palomeque,Goalkeeper
27153,4004099,2025_2026,98,True,Right Back,Tigres UANL,Javier Ignacio Aquino Carmona,Right Back
29586,4004099,2025_2026,98,True,Left Defensive Midfield,Tigres UANL,Juan Francisco Brunetta,Right Defensive Midfield
32917,4004099,2025_2026,98,True,Goalkeeper,Santos Laguna,Carlos Acevedo López,Goalkeeper
7578,4004099,2025_2026,57,True,Center Forward,Santos Laguna,Anthony Rubén Lozano Colón,Center Forward
37539,4004099,2025_2026,98,True,Right Center Back,Tigres UANL,Romulo Zanre Zwarg,Right Center Back
69030,4004099,2025_2026,76,True,Left Back,Tigres UANL,Jesús Ángel Garza García,Right Back
23849,4004099,2025_2026,65,True,Left Center Midfield,Santos Laguna,Francisco José Villalba Rodrigo,Left Center Midfield
26289,4004099,2025_2026,98,True,Center Defensive Midfield,Santos Laguna,Javier Güemez López,Center Defensive Midfield
34361,4004099,2025_2026,98,True,Right Center Back,Santos Laguna,Óscar Haret Ortega Gatica,Right Center Back
32713,4004099,2025_2026,98,True,Left Center Back,Tigres UANL,Juan José Sánchez Purata,Left Center Back
132043,4004099,2025_2026,57,True,Left Midfield,Santos Laguna,Kevin Alexander Palacios Salazar,Left Wing
43478,4004099,2025_2026,59,True,Center Forward,Tigres UANL,Edgar Iván López Rodríguez,Center Forward
37591,4004099,2025_2026,98,True,Right Center Midfield,Santos Laguna,Aldo López Vargas,Right Center Midfield
50649,4004099,2025_2026,81,True,Left Back,Santos Laguna,Bruno Amione,Left Back
27354,4004099,2025_2026,98,True,Left Center Back,Santos Laguna,Kevin Alexander Balanta Lucumí,Left Center Back
6377,4004099,2025_2026,98,True,Center Attacking Midfield,Tigres UANL,Ángel Martín Correa,Center Attacking Midfield
